pc,singular_value,abs_cosine_with_refusal_direction
1,53.09196472167969,0.14664599299430847
2,12.491255760192871,0.049207985401153564
3,9.306561470031738,0.09598004072904587
4,8.622538566589355,0.03393014892935753
5,8.394672393798828,0.03886644169688225
6,8.225584983825684,0.10321904718875885
7,6.948456764221191,0.08598549664020538
8,6.454131126403809,0.008538424968719482
9,6.233104705810547,0.14094600081443787
10,6.02695369720459,0.062303006649017334
